search1,seller,register,name,price,category,rnp
갈치웜,퍼니피싱,등록일 2018.02.,퍼니피싱 야광그럽웜 2인치 쏘가리꺽지볼락우럭웜,790원,"['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰373', '구매건수196']"
갈치웜,인마켓,등록일 2018.09.,씨타임 옥토퍼스 꼴뚜기웜 야광 바다 루어 미끼 웜,"2,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,낚시마을,등록일 2020.06.,갈치 웜 6.5cm 7.5cm 야광 웜홀 물결,"2,930원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰7', '구매건수7']"
갈치웜,현민아빠,등록일 2019.07.,티렉스 케이무라 갈치웜 UV 2.5인치 3인치 풀치웜,"3,500원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰1,680', '구매건수261']"
갈치웜,현민아빠,등록일 2019.12.,티렉스 케이무라 볼락웜 아징 전갱이 갈치 UV 1.4 1.8 2.2 인치 풀치웜 쏘가리웜 꺽지웜 베이비사딘,"3,500원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰2,392', '구매건수2,117']"
갈치웜,루어스 - LURES,등록일 2020.12.,티렉스 볼락웜 갈치웜 케이무라 야광 볼락 아징 전갱이 풀치 갈치 웜,"3,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰138', '구매건수399']"
갈치웜,추천낚시,등록일 2019.07.,워터맨 피쉬본패들 갈치킬러 풀치 갈치웜 물결채비,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰142', '구매건수9']"
갈치웜,돌아이낚시,등록일 2019.07.,슈어캐치 워터맨 트위스터플렉스 갈치웜 소프트베이트,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰284', '구매건수32']"
갈치웜,아마존피싱,등록일 2019.06.,아마존피싱 AMZ야광 갈치웜 물결채비 2-3인치 갈치 풀치 바다루어 생활낚시,"2,900원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰1,069', '구매건수47']"
갈치웜,파요,등록일 2020.07.,파요 재블린4.5인치 벌크 노싱커웜 50pcs한팩 배스광어 미끼 OSP도라이브 스틱,"7,400원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰664', '구매건수514']"
갈치웜,대양피싱,등록일 2020.06.,마리아 마마웜 글로우피쉬 3 인치 / 3.5인치 갈치웜,"7,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰120', '구매건수50']"
갈치웜,리치피싱,등록일 2019.07.,리치피싱 라라웜 3인치 풀치웜 갈치 지그 축광웜 갈치 루어 광어 루어 우럭 낚시,"1,350원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰517', '구매건수85']"
갈치웜,돌아이낚시,등록일 2019.07.,슈어캐치 워터맨 뉴 새드 플렉스 갈치웜 소프트베이트,"3,910원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰136', '구매건수24']"
갈치웜,루어스토리지,등록일 2019.07.,BKC 셔플쉐드 야광 갈치웜 10개입,"2,900원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰96', '구매건수3']"
갈치웜,낚시환자,등록일 2021.01.,버클리 걸프 샌드웜 2인치 미드백 갈치 볼락 아징웜 - 낚시환자,"6,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰3']
갈치웜,루어스 - LURES,등록일 2020.12.,티렉스 케이무라 갈치웜 야광 풀치웜 / 아징 볼락 전갱이 송어 쏘가리 꺽지 웜,"1,900원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰16', '구매건수51']"
갈치웜,레전드낚시마트,등록일 2020.02.,티렉스 케이무라 갈치웜 3.0인치 초고발광 루어웜 갈치,"3,400원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰29', '구매건수9']"
갈치웜,거제낚시할인마트,등록일 2019.06.,슈어캐치 트위스터 플렉스 TWF 갈치루어/갈치웜,"4,500원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰34', '구매건수2']"
갈치웜,에프마켓 김포,등록일 2021.02.,아쿠아엑스 갈치웜 광어 우럭 부시리,"3,900원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰9', '구매건수16']"
갈치웜,낚시바보,등록일 2020.08.,워터맨 트위스터 플랙스 풀치 갈치웜 - 낚시바보,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰17', '구매건수8']"
갈치웜,짱구낚시,등록일 2019.06.,하하 야광 갈치웜 소프트베이트 볼락 농어 배스,"2,790원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰72', '구매건수4']"
갈치웜,텐텐피싱,등록일 2020.09.,티렉스 케이무라 갈치웜 3.0인치 칼치 풀치 루어 낚시,"3,500원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰21', '구매건수7']"
갈치웜,,등록일 2018.09.,히트페이스 헤어테일 갈치웜/갈치루어/갈치낚시미끼/야광루어웜,870원,"['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰244']
갈치웜,창고낚시,등록일 2021.06.,"몽크로스 MK그럽 2,4인치 그럽웜 소프트베이트 웜 쏘가리 바다 루어낚시","2,700원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,창고낚시,등록일 2021.06.,몽크로스 바이브스위머 2.6인치 쉐드 웜 소프트베이트 갈치 쏘가리 배스 루어 낚시,"2,700원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,창고낚시,등록일 2021.06.,몽크로스 소프트베이트 싸이클 3인치 배스 우럭 바다루어 갯바위 광어 농어 낚시,"2,700원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,파요,등록일 2020.04.,파요 하인켈 4.5인치 벌크 쉐드웜 버징웜(20pcs) 노싱커웜 스위밍 웜,"6,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰453', '구매건수599']"
갈치웜,생활낚시연구소,등록일 2021.06.,축광 야광 갈치 웜 칼치 풀치 갈치루어웜 2인치 3인치,"1,600원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,꼴통낚시,등록일 2019.08.,슈어캐치 워터맨 새드플랙스 패들 갈치 웜,"3,420원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰52', '구매건수10']"
갈치웜,09피싱,등록일 2019.12.,[09피싱]하하 야광 갈치웜 갈치루어 바다루어웜 갈치낚시,"2,940원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰13']
